TexteA,TextB,TextAPT,TextBPT,TFIDF,Jaccard_Distance,Levenshtein_Distance,NGram-Similarity,EXPECTED,RESULT,Score Keywords,Score entities
Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,milwaukee county executive chris abele county buses less safe year two ago ,milwaukee county executive chris abele county buses less safe year two ago ,1.0,1.0,0,1.0,E,E,1.0000000000000002,1.0000000000000002
Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,milwaukee county executive candidate chris abele opponent jeff stone scott walker ,milwaukee county executive candidate chris abele opponent jeff stone scott walker ,1.0,1.0,0,0.9090909090909091,E,E,1.0,1.0
Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,tom barrett gubernatorial rival scott walker eliminated economic development office recession ,tom barrett gubernatorial rival scott walker eliminated economic development office recession ,1.0,1.0,0,1.0,E,E,1.0,1.0000000000000002
Mitt Romney says Barack Obama 'could have gotten crippling sanctions against Iran. He did not.',Paul Ryan says the Obama administration ‘watered down sanctions’ against Iran,mitt romney barack obama could gotten crippling sanctions iran ,paul ryan obama administration watered sanctions iran ,0.24,0.23076923076923078,35,0.1111111111111111,E*,N,0.20199309249791836,0.44827513608428265
"Newt Gingrich says Freddie Mac, electric co-ops and credit unions are similar organizations","Gingrich repeats claim that Freddie Mac, credit unions are ‘government-sponsored enterprises’",newt gingrich freddie mac electric coops credit unions similar organizations ,gingrich repeats claim freddie mac credit unions governmentsponsored enterprises ,0.36,0.35714285714285715,51,0.1111111111111111,ST,ST,0.3563004293331381,0.7065454981140861
Recovery.gov shows jobs in Congressional districts that don't exist,Recovery.gov assigns statewide education jobs to one congressional district,recoverygov shows jobs congressional districts dont exist ,recoverygov assigns statewide education jobs one congressional district ,0.25,0.25,41,0.0,ST,N,0.0,0.9613721968000659
"Rick Scott's budget includes some big tax cuts, but not all for you",Gov. Rick Scott says budget cuts taxes by $2 billion,rick scotts budget includes big tax cuts ,gov rick scott budget cuts taxes 2 billion ,0.28,0.25,24,0.0,E*,N,0.5031026124151314,0.5031026124151314
Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,josh mandel campaign sherrod brown owns ohios horrendous job numbers ,josh mandel campaign sherrod brown owns ohios horrendous job numbers ,1.0,1.0,0,1.1111111111111112,E,E,1.0000000000000002,1.0000000000000002
U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,1.0,1.0,0,1.0555555555555556,E,E,1.0000000000000004,1.0000000000000002
"House Speaker John Boehner says Obama's economists figure stimulus cost at $278,000 per job","NRCC says stimulus supported by New Jersey Democrats cost $278,000 per job",house speaker john boehner obamas economists figure stimulus cost 278000 per job ,nrcc stimulus supported new jersey democrats cost 278000 per job ,0.3,0.29411764705882354,49,0.0,E*,N,0.0,0.8920255865922758
Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,milwaukee county executive candidate jeff stone hes candidate voted increasing government pensions ,milwaukee county executive candidate jeff stone hes candidate voted increasing government pensions ,1.0,1.0,0,1.0625,E,E,1.0000000000000002,1.0000000000000002
Jon Huntsman accuses Mitt Romney of flip-flopping on abortion,DNC ad says Mitt Romney flip-flopped on abortion,jon huntsman accuses mitt romney flipflopping abortion ,dnc ad mitt romney flipflopped abortion ,0.3,0.3,20,0.0,E*,N,0.29121941856368966,0.6601667904194329
"Bob McDonnell says Virginia has gained 60,000 jobs since he became governor","Bob McDonnell says Virginia has gained 60,000 jobs since he became governor",bob mcdonnell virginia gained 60000 jobs since became governor ,bob mcdonnell virginia gained 60000 jobs since became governor ,1.0,1.0,0,0.9,E,E,1.0000000000000002,1.0000000000000002
Hillary Clinton says she helped usher Iran to the negotiating table,Bill Clinton praises Hillary's 'half-court shot' on Iran sanctions as secretary of state,hillary clinton helped usher iran negotiating table ,bill clinton praises hillarys halfcourt shot iran sanctions secretary state ,0.14,0.13333333333333333,48,0.0,ST,ST,0.6029748160380572,0.460175805722271
"Why Crimea matters to Russia
",Historical claim shows why Crimea matters to Russia,crimea matters russia ,historical claim shows crimea matters russia ,0.58,0.5,23,0.6666666666666666,E*,N,0.0,0.6541506174746681
"Samuel ""Joe the Plumber"" Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions","Samuel ""Joe the Plumber"" Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions",samuel joe plumber wurzelbacher marcy kaptur opposed ban gender abortions ,samuel joe plumber wurzelbacher marcy kaptur opposed ban gender abortions ,1.0,1.0,0,1.0,E,E,1.0000000000000002,1.0
Julián Castro says Milken Institute named San Antonio nation’s top-performing local economy,Julián Castro says Milken Institute named San Antonio nation’s top-performing local economy,julian castro milken institute named san antonio nations topperforming local economy ,julian castro milken institute named san antonio nations topperforming local economy ,1.0,1.0,0,1.3,E,E,1.0000000000000002,1.0000000000000002
Gun claim goes awry,Congressman uses wrong words on gun claim,gun claim goes awry ,congressman uses wrong words gun claim ,0.26,0.25,30,0.0,ST,N,0.0,0.0
